         1046202 function calls (1005802 primitive calls) in 0.567 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    0.570    0.570 /Users/mpaga/OC/MLOps/profiling/profile_api.py:199(pipeline)
      200    0.002    0.000    0.288    0.001 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/pipeline.py:1002(transform)
      400    0.001    0.000    0.254    0.001 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_set_output.py:314(wrapped)
      600    0.003    0.000    0.244    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:2793(validate_data)
      200    0.004    0.000    0.222    0.001 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/impute/_base.py:595(transform)
      600    0.011    0.000    0.209    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:725(check_array)
      200    0.002    0.000    0.206    0.001 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/sklearn.py:1615(predict_proba)
      200    0.001    0.000    0.204    0.001 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/impute/_base.py:330(_validate_input)
      200    0.004    0.000    0.202    0.001 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/sklearn.py:1093(predict)
     1600    0.003    0.000    0.100    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/generic.py:6454(dtypes)
     1800    0.013    0.000    0.097    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/series.py:392(__init__)
      200    0.002    0.000    0.087    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/sklearn.py:801(_process_params)
    37800    0.008    0.000    0.080    0.000 {built-in method builtins.hasattr}
  400/200    0.002    0.000    0.072    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/sklearn.py:735(get_params)
      200    0.002    0.000    0.072    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/frame.py:698(__init__)
      600    0.004    0.000    0.063    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/base.py:240(get_params)
      600    0.006    0.000    0.057    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/base.py:209(_get_param_names)
      800    0.001    0.000    0.053    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/accessor.py:220(__get__)
      800    0.000    0.000    0.053    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/arrays/sparse/accessor.py:29(__init__)
